"sourceIndex","originalName","storedName","sourceUrl","bytes","manifestSha256","actualSha256","disposition","canonicalStoredName","sideEffects"
"43","Architectural_Design_Proposal_Request_Majan_Lifestyle_Centre_047d5db8.docx","referenced-files/22cce1c071a6_Architectural_Design_Proposal_Request_Majan_Lifestyle_Centre_047d5db8.docx","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Architectural_Design_Proposal_Request_Majan_Lifestyle_Centre_047d5db8.docx","34646","22cce1c071a6f9ba9e51e97f4087ed2ed0155e7ef9c4b7121f2e9d3592a5938b","22cce1c071a6f9ba9e51e97f4087ed2ed0155e7ef9c4b7121f2e9d3592a5938b","upload_unique_to_staging","referenced-files/22cce1c071a6_Architectural_Design_Proposal_Request_Majan_Lifestyle_Centre_047d5db8.docx","none"
"44","2700001-updates_none-e6df836bfac84781763e42eef0425179_d75127fe.pcm","referenced-files/257abf3b867e_2700001-updates_none-e6df836bfac84781763e42eef0425179_d75127fe.pcm","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-briefings/2700001-updates_none-e6df836bfac84781763e42eef0425179_d75127fe.pcm","1103412","257abf3b867eb01cf84e39567add1bcdb7d4ae2e87094467b345ebed9d571fa7","257abf3b867eb01cf84e39567add1bcdb7d4ae2e87094467b345ebed9d571fa7","upload_unique_to_staging","referenced-files/257abf3b867e_2700001-updates_none-e6df836bfac84781763e42eef0425179_d75127fe.pcm","none"
"45","Pre-Concept Sketch_2dd89510.zip","referenced-files/2f9ac3eebf0e_Pre-Concept Sketch.zip","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Pre-Concept Sketch_2dd89510.zip","2100188","2f9ac3eebf0e3c91b7b4ce20da13c7c73823d4d5880a83f7d1234379641ba62c","2f9ac3eebf0e3c91b7b4ce20da13c7c73823d4d5880a83f7d1234379641ba62c","upload_unique_to_staging","referenced-files/2f9ac3eebf0e_Pre-Concept Sketch.zip","none"
"46","Design_International_Majan_Technical_Commercial_Proposal_2026-09-18_4642332b.pdf","referenced-files/3201a952b9a2_Design_International_Majan_Technical_Commercial_Proposal_2026-09-18_4642332b.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/work-files/task-4/Design_International_Majan_Technical_Commercial_Proposal_2026-09-18_4642332b.pdf","2126452","3201a952b9a244bd0fd3bd283143249746acb4d88927a5c04f2879b2f5474c87","3201a952b9a244bd0fd3bd283143249746acb4d88927a5c04f2879b2f5474c87","upload_unique_to_staging","referenced-files/3201a952b9a2_Design_International_Majan_Technical_Commercial_Proposal_2026-09-18_4642332b.pdf","none"
"47","Design_International_Meeting_Speaking_Sheet_EN_cb3562ac.md","referenced-files/4c0e031f1e07_Design_International_Meeting_Speaking_Sheet_EN_cb3562ac.md","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Design_International_Meeting_Speaking_Sheet_EN_cb3562ac.md","4861","4c0e031f1e0791d0b8ec0e63603350d7c4d13d649681dd9df1a3fe85bbc3f0d4","4c0e031f1e0791d0b8ec0e63603350d7c4d13d649681dd9df1a3fe85bbc3f0d4","upload_unique_to_staging","referenced-files/4c0e031f1e07_Design_International_Meeting_Speaking_Sheet_EN_cb3562ac.md","none"
"48","Sara_LiveAvatar_Smiling_1080x1920_1a8083ea.png","referenced-files/5256847d26be_Sara_LiveAvatar_Smiling_1080x1920_1a8083ea.png","https://comofollowup-ngbxwvy8.manus.space/manus-storage/Sara_LiveAvatar_Smiling_1080x1920_1a8083ea.png","4814894","5256847d26be0e0de1f8770366c27a79d51954990a4be735639e0133f18a7bee","5256847d26be0e0de1f8770366c27a79d51954990a4be735639e0133f18a7bee","reuse_source_duplicate","local-assets/sara/Sara_LiveAvatar_Smiling_1080x1920.png","none"
"49","3540001-updates_none-19a4c20165b4b19c1860f0336d5d47fc_d2e30976.pcm","referenced-files/61a6c6bb0144_3540001-updates_none-19a4c20165b4b19c1860f0336d5d47fc_d2e30976.pcm","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-briefings/3540001-updates_none-19a4c20165b4b19c1860f0336d5d47fc_d2e30976.pcm","860438","61a6c6bb0144b8304b3dd2d135cee271b3d5d2071fb996438c7fe15472e22848","61a6c6bb0144b8304b3dd2d135cee271b3d5d2071fb996438c7fe15472e22848","upload_unique_to_staging","referenced-files/61a6c6bb0144_3540001-updates_none-19a4c20165b4b19c1860f0336d5d47fc_d2e30976.pcm","none"
"50","3750001-comprehensive-ea7736e8d78c76ddcb2b46a23ab64a27_1d4c4a61.pcm","referenced-files/65be8a6ba755_3750001-comprehensive-ea7736e8d78c76ddcb2b46a23ab64a27_1d4c4a61.pcm","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-briefings/3750001-comprehensive-ea7736e8d78c76ddcb2b46a23ab64a27_1d4c4a61.pcm","15534706","65be8a6ba755c9c73fa702e75cc5a666da72f4a9909d113d603215a8f366cae7","65be8a6ba755c9c73fa702e75cc5a666da72f4a9909d113d603215a8f366cae7","upload_unique_to_staging","referenced-files/65be8a6ba755_3750001-comprehensive-ea7736e8d78c76ddcb2b46a23ab64a27_1d4c4a61.pcm","none"
"51","DSUAE26004_MajanRetailStudy-DraftV2-20260914_3a7a6dc1.pdf","referenced-files/6f82ed39c2ac_DSUAE26004_MajanRetailStudy-DraftV2-20260914_3a7a6dc1.pdf","https://comofollowup-ngbxwvy8.manus.space/manus-storage/DSUAE26004_MajanRetailStudy-DraftV2-20260914_3a7a6dc1.pdf","13648418","6f82ed39c2ace4536f0ef2fcb42da6c4d51574ea57e41bd669dc5c4be272cdd1","6f82ed39c2ace4536f0ef2fcb42da6c4d51574ea57e41bd669dc5c4be272cdd1","upload_unique_to_staging","referenced-files/6f82ed39c2ac_DSUAE26004_MajanRetailStudy-DraftV2-20260914_3a7a6dc1.pdf","none"
"52","sara-lebanese-yasmine-sample_0b9bba04.mp3","referenced-files/75d415511351_sara-lebanese-yasmine-sample_0b9bba04.mp3","https://comofollowup-ngbxwvy8.manus.space/manus-storage/sara-lebanese-yasmine-sample_0b9bba04.mp3","223234","75d415511351929e3ee201dd2e10e2d4005b04fc809d324308cf344f01b54c39","75d415511351929e3ee201dd2e10e2d4005b04fc809d324308cf344f01b54c39","reuse_source_duplicate","local-assets/sara/sara-lebanese-yasmine-sample.mp3","none"
