"sourceTable","sourceId","disposition","targetType","targetId","reason","blockedBy","batchId","sourceSystem"
"__drizzle_migrations","1","skip_reference","migration_reference","","Source migration history is reference-only","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","360001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","450002","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","480001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","720001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","750001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","870005","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","870006","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","870007","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","870008","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","900001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","900002","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","900003","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","900004","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","900005","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","930001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","930002","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","930003","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","930004","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","960001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","990001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
"agentRequests","1020001","archive_history","assistant_history","","Historical record only; never rerun","","COMO-FUD-2026-09-25-01","como-follow-up-desk"
